"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"1400000US04013105503","Census Tract 1055.03; Maricopa County; Arizona","4193","808",
"1400000US04013105601","Census Tract 1056.01; Maricopa County; Arizona","4095","1503",
"1400000US04013105602","Census Tract 1056.02; Maricopa County; Arizona","6553","1107",
"1400000US04013105701","Census Tract 1057.01; Maricopa County; Arizona","3500","703",
"1400000US04013105702","Census Tract 1057.02; Maricopa County; Arizona","4244","662",
"1400000US04013105800","Census Tract 1058; Maricopa County; Arizona","6751","1122",
"1400000US04013105900","Census Tract 1059; Maricopa County; Arizona","5286","838",
"1400000US04013106001","Census Tract 1060.01; Maricopa County; Arizona","1853","535",
"1400000US04013106002","Census Tract 1060.02; Maricopa County; Arizona","2864","496",
"1400000US04013106003","Census Tract 1060.03; Maricopa County; Arizona","3856","520",
"1400000US04013106100","Census Tract 1061; Maricopa County; Arizona","5803","614",
"1400000US04013106200","Census Tract 1062; Maricopa County; Arizona","3369","493",
"1400000US04013106300","Census Tract 1063; Maricopa County; Arizona","5501","669",
"1400000US04013106400","Census Tract 1064; Maricopa County; Arizona","3253","425",
"1400000US04013106501","Census Tract 1065.01; Maricopa County; Arizona","3319","524",
"1400000US04013106502","Census Tract 1065.02; Maricopa County; Arizona","3875","390",
"1400000US04013106600","Census Tract 1066; Maricopa County; Arizona","3676","407",
"1400000US04013106701","Census Tract 1067.01; Maricopa County; Arizona","4322","701",
"1400000US04013106702","Census Tract 1067.02; Maricopa County; Arizona","1323","167",
"1400000US04013106703","Census Tract 1067.03; Maricopa County; Arizona","2432","342",
"1400000US04013106801","Census Tract 1068.01; Maricopa County; Arizona","4581","763",
"1400000US04013106802","Census Tract 1068.02; Maricopa County; Arizona","3486","497",
"1400000US04013106900","Census Tract 1069; Maricopa County; Arizona","7578","1184",
"1400000US04013107001","Census Tract 1070.01; Maricopa County; Arizona","4754","1806",
"1400000US04013107002","Census Tract 1070.02; Maricopa County; Arizona","3810","368",
"1400000US04013107101","Census Tract 1071.01; Maricopa County; Arizona","4950","1072",
"1400000US04013107102","Census Tract 1071.02; Maricopa County; Arizona","4639","797",
"1400000US04013107201","Census Tract 1072.01; Maricopa County; Arizona","4879","434",
"1400000US04013107202","Census Tract 1072.02; Maricopa County; Arizona","5132","719",
"1400000US04013107300","Census Tract 1073; Maricopa County; Arizona","6528","1319",
"1400000US04013107401","Census Tract 1074.01; Maricopa County; Arizona","2501","314",
"1400000US04013107402","Census Tract 1074.02; Maricopa County; Arizona","1380","271",
"1400000US04013107403","Census Tract 1074.03; Maricopa County; Arizona","2340","1199",
"1400000US04013107404","Census Tract 1074.04; Maricopa County; Arizona","1478","588",
"1400000US04013107500","Census Tract 1075; Maricopa County; Arizona","3520","517",
"1400000US04013107601","Census Tract 1076.01; Maricopa County; Arizona","3177","299",
"1400000US04013107602","Census Tract 1076.02; Maricopa County; Arizona","2831","326",
"1400000US04013107700","Census Tract 1077; Maricopa County; Arizona","3903","626",
"1400000US04013107800","Census Tract 1078; Maricopa County; Arizona","2390","262",
"1400000US04013107900","Census Tract 1079; Maricopa County; Arizona","3532","653",
"1400000US04013108000","Census Tract 1080; Maricopa County; Arizona","3129","352",
"1400000US04013108100","Census Tract 1081; Maricopa County; Arizona","2154","398",
"1400000US04013108200","Census Tract 1082; Maricopa County; Arizona","3363","455",
"1400000US04013108301","Census Tract 1083.01; Maricopa County; Arizona","3855","822",
"1400000US04013108302","Census Tract 1083.02; Maricopa County; Arizona","2688","353",
"1400000US04013108400","Census Tract 1084; Maricopa County; Arizona","5776","959",
"1400000US04013108501","Census Tract 1085.01; Maricopa County; Arizona","2723","691",
"1400000US04013108502","Census Tract 1085.02; Maricopa County; Arizona","3735","439",
"1400000US04013108601","Census Tract 1086.01; Maricopa County; Arizona","2454","459",
"1400000US04013108602","Census Tract 1086.02; Maricopa County; Arizona","6344","949",
"1400000US04013108802","Census Tract 1088.02; Maricopa County; Arizona","2203","337",
"1400000US04013108901","Census Tract 1089.01; Maricopa County; Arizona","2518","503",
"1400000US04013108902","Census Tract 1089.02; Maricopa County; Arizona","5212","705",
"1400000US04013109001","Census Tract 1090.01; Maricopa County; Arizona","5330","988",
"1400000US04013109002","Census Tract 1090.02; Maricopa County; Arizona","3906","467",
"1400000US04013109003","Census Tract 1090.03; Maricopa County; Arizona","6331","1083",
"1400000US04013109101","Census Tract 1091.01; Maricopa County; Arizona","3626","603",
"1400000US04013109102","Census Tract 1091.02; Maricopa County; Arizona","7010","958",
"1400000US04013109200","Census Tract 1092; Maricopa County; Arizona","4711","649",
"1400000US04013109300","Census Tract 1093; Maricopa County; Arizona","4473","1053",
"1400000US04013109401","Census Tract 1094.01; Maricopa County; Arizona","3224","852",
"1400000US04013109402","Census Tract 1094.02; Maricopa County; Arizona","4721","986",
"1400000US04013109500","Census Tract 1095; Maricopa County; Arizona","5950","979",
"1400000US04013109601","Census Tract 1096.01; Maricopa County; Arizona","4480","541",
"1400000US04013109602","Census Tract 1096.02; Maricopa County; Arizona","8004","1811",
"1400000US04013109603","Census Tract 1096.03; Maricopa County; Arizona","3892","280",
"1400000US04013109604","Census Tract 1096.04; Maricopa County; Arizona","4332","713",
"1400000US04013109702","Census Tract 1097.02; Maricopa County; Arizona","5571","913",
"1400000US04013109703","Census Tract 1097.03; Maricopa County; Arizona","3010","628",
"1400000US04013109704","Census Tract 1097.04; Maricopa County; Arizona","2530","771",
"1400000US04013109705","Census Tract 1097.05; Maricopa County; Arizona","1840","275",
"1400000US04013109706","Census Tract 1097.06; Maricopa County; Arizona","3324","721",
"1400000US04013109707","Census Tract 1097.07; Maricopa County; Arizona","4833","796",
"1400000US04013109801","Census Tract 1098.01; Maricopa County; Arizona","4593","743",
"1400000US04013109802","Census Tract 1098.02; Maricopa County; Arizona","4342","628",
"1400000US04013109900","Census Tract 1099; Maricopa County; Arizona","7204","947",
